start_time,end_time,o,h,l,c
2021-02-05 17:40:00,2021-02-05 21:40:00,37861.14,37950.0,37230.0,37745.1
2021-02-05 21:40:00,2021-02-06 01:40:00,37745.1,39482.18,37652.79,39371.5
2021-02-06 01:40:00,2021-02-06 05:40:00,39372.8,39666.0,38275.86,38950.89
2021-02-06 05:40:00,2021-02-06 09:40:00,38950.88,39888.0,38876.84,39681.5
2021-02-06 09:40:00,2021-02-06 13:40:00,39681.5,40479.86,39516.17,40174.09
2021-02-06 13:40:00,2021-02-06 17:40:00,40174.13,40955.51,40090.0,40462.83
2021-02-06 17:40:00,2021-02-06 21:40:00,40462.83,40650.0,39572.74,40155.81
2021-02-06 21:40:00,2021-02-07 01:40:00,40155.81,40469.19,38701.0,39373.07
2021-02-07 01:40:00,2021-02-07 05:40:00,39373.07,39374.6,37923.0,38454.99
2021-02-07 05:40:00,2021-02-07 09:40:00,38454.99,39584.92,38282.44,39530.75
2021-02-07 09:40:00,2021-02-07 13:40:00,39530.75,39700.0,38405.0,38487.53
2021-02-07 17:40:00,2021-02-07 21:40:00,38052.92,38600.0,37660.97,38569.04
2021-02-07 21:40:00,2021-02-08 01:40:00,38569.04,39130.0,38285.1,38544.4
2021-02-08 01:40:00,2021-02-08 05:40:00,38544.39,38772.0,37988.89,38688.56
2021-02-08 13:40:00,2021-02-08 17:40:00,43976.67,44342.17,42521.62,43050.09
2021-02-08 17:40:00,2021-02-08 21:40:00,43045.09,44625.0,42554.71,44246.0
2021-02-08 21:40:00,2021-02-09 01:40:00,44245.99,47498.0,44200.02,46134.89
2021-02-09 01:40:00,2021-02-09 05:40:00,46136.63,47041.92,45500.0,46474.54
2021-02-09 05:40:00,2021-02-09 09:40:00,46471.0,48142.19,46126.0,46348.12
2021-02-09 09:40:00,2021-02-09 13:40:00,46348.12,46806.41,44961.09,45694.63
2021-02-09 13:40:00,2021-02-09 17:40:00,45694.63,47110.72,45612.76,46313.92
